waiting,elapsed
4080,13989
4025,187945
4017,231992
4018,232001
4020,232002
4023,228003
4026,232003
4024,231999
4015,231990
4023,236008
4019,227996
4021,232002
4020,231999
4024,232004
4015,227991
4018,232003
4031,232013
4014,231984
4027,232012
4022,243995
4017,219995
4025,232008
4017,231992
4017,228000
4021,232005
4018,231996
4041,232023
4031,231990
4026,231995
4027,232001
4023,231996
4020,231997
4019,231999
4024,232005
2226,12150
4025,215851
4021,231996
4026,232005
4029,232003
4021,231992
4028,232008
2447,224365
4027,7633
4026,232000
4015,231988
4022,232007
4027,244005
4025,223998
4023,223998
2314,204237
4032,27772
4027,231995
4021,231994
4017,231996
4023,232006
4034,248011
4024,211990
3069,188990
4035,43021
4015,231981
4029,232013
4024,243996
4023,219998
4033,232010
4026,231993
2583,164502
4026,67498
4021,231995
4023,232002
4030,232007
4020,231990
4024,228004
4028,232004
2916,144832
4033,87173
4017,231984
4028,240011
4032,224005
4029,231996
4012,231983
4013,228002
2633,124562
4023,107447
4029,232007
4021,231991
4032,244012
4032,219999
4029,231998
4018,231988
801,98725
4039,145297
4029,223989
4032,228003
4030,231998
4038,232008
