waiting,elapsed
36040,39153
48018,51979
48019,52000
48019,52000
44020,48001
48022,52002
48022,52000
48018,51996
48020,52002
44022,48002
48021,51999
48025,52004
56016,59991
36025,40009
48020,51996
48021,52001
48014,51992
48021,52007
44017,47996
48028,52011
48019,51991
48029,52010
44020,47992
48020,51999
56027,60007
40019,43992
44026,48007
48028,52002
48022,51994
48025,52003
48033,52008
44020,47987
48020,52000
56028,60008
40016,43988
44023,48007
52024,56001
44017,47994
48013,51995
44021,48008
48024,52003
48020,51996
64021,68002
32021,35999
44022,48001
48025,52003
48019,51994
48019,52000
44014,47995
48020,52006
48021,52001
48020,51999
48019,51999
44026,48007
48031,52006
48022,51990
48017,51995
44019,48002
48021,52002
48019,51998
48021,52002
44026,48005
48020,51995
48023,52002
48018,51995
48018,52000
44019,48001
48018,51999
48522,52504
40025,43503
48023,51998
48019,51996
44018,47999
56018,60000
40035,44017
48021,51986
44027,48006
48020,51994
48022,52001
48040,52018
44022,47982
64024,68002
32015,35991
56019,60004
36023,40004
48020,51997
48019,51999
48021,52002
48023,52002
44034,48012
48021,51987
48019,51997
60018,63999
32019,36001
48018,51999
48022,52004
48021,51999
48028,52007
44020,47993
48024,52003
48019,51995
48023,52004
44018,47995
48021,52003
48020,51999
48024,52004
44013,47990
48023,52009
48019,51997
48018,51999
48019,52000
44030,48011
48020,51991
60026,64005
36019,39993
44027,48008
48015,51988
48021,52006
60022,64001
36023,40001
44017,47994
48019,52002
48018,51999
48018,52000
44014,47996
48016,52002
48018,52002
48017,51999
44039,48022
48022,51983
48030,52008
48017,51987
48021,52004
44016,47995
48017,52001
48014,51997
48019,52005
44022,48003
48020,51998
48022,52002
48030,52008
44022,47992
52018,55996
44023,48005
48017,51994
48022,52005
44027,48005
48017,51990
48021,52004
48021,52000
44017,47996
48017,52000
48024,52007
48017,51993
48021,52004
44019,47998
48013,51994
48023,52010
48018,51995
48018,52000
44020,48002
48017,51997
48020,52003
48020,52000
44018,47998
48027,52009
48020,51994
48016,51995
48025,52009
44023,47998
48022,51999
48023,52001
48021,51998
44018,47997
48018,52000
48017,51999
48021,52004
48014,51993
44017,48003
48015,51998
48018,52003
48023,52005
48021,51999
44019,47997
48020,52001
48021,52001
48019,51998
44030,48011
48023,51993
48020,51997
48021,52001
48027,52006
44023,47996
48020,51998
48022,52001
48026,52005
44034,48007
56019,59985
40017,43998
48019,52002
60017,63998
32016,35999
48023,52007
48021,51998
48019,51998
44020,48002
48022,52001
48019,51997
48023,52004
44020,47997
48027,52007
48024,51998
48020,51995
48014,51994
44024,48010
48020,51996
48021,52001
48019,51998
44020,48001
48016,51996
64022,68006
32020,35998
48018,51998
44013,47995
48015,52002
48017,52002
48024,52007
44022,47998
48021,51999
48022,52001
48019,51997
48014,51995
44017,48003
48022,52005
48018,51996
64019,68001
28016,31997
48020,52004
48021,52001
48017,51996
48028,52011
44019,47992
48022,52002
48017,51996
48014,51996
44017,48003
48019,52002
56022,60003
40021,43999
44016,47995
48014,51998
48019,52004
48019,52001
48020,52001
44024,48004
48023,51999
48016,51993
48019,52003
44019,48000
56024,60005
40021,43996
48019,51999
48019,52000
44018,47999
48017,51999
48033,52016
48026,51993
44019,47993
52030,56011
52027,55996
40030,44004
44022,47992
48019,51997
48015,51996
48021,52006
44022,48001
48023,52001
64021,67998
32018,35997
48018,52000
44021,48003
48020,51999
48020,52000
48017,51997
48026,52009
44016,47990
48019,52003
48017,51998
48022,52005
44015,47993
48011,51996
48018,52007
48024,52006
44023,47999
48027,52005
48019,51991
48019,52000
48020,52001
44024,48004
60022,63998
36018,39996
48019,52001
44020,48001
48019,51999
48018,51999
48026,52008
44017,47992
48020,52002
48020,52000
60017,63997
36015,39998
44025,48010
48029,52004
48017,51988
60023,64006
32024,36001
48019,51995
48021,52002
48016,51995
44013,47997
48011,51998
48018,52007
48028,52010
48035,52007
44033,47998
48028,51997
48019,51989
60021,64002
32026,36004
48020,51995
48021,52001
48023,52002
44019,47996
48019,52000
48021,52002
48052,52031
48029,51978
44024,47994
48027,52003
48024,51997
48022,51998
44020,47998
48035,52015
48027,51992
48022,51995
44027,48005
48019,51992
48021,52002
52020,55999
44022,48002
44023,48001
48018,51995
48018,52000
48014,51996
44017,48003
48017,52000
60020,64003
36014,39994
48020,52006
44031,48011
48022,51991
48017,51996
48022,52005
44014,47991
48029,52015
48019,51990
48021,52002
44020,47999
48022,52002
48035,52014
48019,51983
44022,48003
48021,51999
48028,52007
48014,51986
48013,51999
44017,48004
48021,52004
48021,52000
48026,52005
44018,47993
48020,52001
48025,52005
48020,51995
48026,52006
44019,47993
56032,60013
40022,43990
56019,59997
36018,39999
48021,52003
